[41:{234236d9,c402220}]2,3,12,15,16,17,19,20,21,22,23,25,26,29,30,31,33,34,35,37,38,39,40,41,42,43,44,45,54,58,62,72,76,77,79,80,82,83,85,86,89,
[41:{23577698,c402225}]1,2,3,7,12,16,20,22,26,29,30,31,33,34,35,37,38,39,40,41,42,43,44,45,54,58,62,65,67,69,71,72,73,75,76,77,79,80,82,85,86,
[41:{234236dc,c402360}]1,2,12,15,16,17,19,20,21,22,23,25,26,30,33,34,35,37,38,39,40,41,42,43,44,45,54,58,59,61,62,72,76,77,79,80,82,83,85,86,87,
[41:{23423ed1,c402a28}]2,3,4,15,16,17,19,20,21,22,23,25,29,30,31,33,35,37,38,39,40,41,42,43,44,45,54,56,58,62,64,72,76,77,78,79,80,82,83,85,89,
[41:{23577e90,c402a2d}]1,2,3,4,7,16,20,22,29,30,31,33,35,37,38,39,40,41,42,43,44,45,54,56,58,62,64,65,67,69,71,72,73,75,76,77,78,79,80,82,85,
[41:{23423ed4,c402b68}]1,2,4,15,16,17,19,20,21,22,23,25,30,33,35,37,38,39,40,41,42,43,44,45,54,56,58,59,61,62,64,72,76,77,78,79,80,82,83,85,87,
[41:{234276c9,c403224}]2,3,5,12,16,17,19,20,21,22,23,26,29,30,31,33,34,37,38,39,40,41,42,43,44,45,54,55,58,62,65,72,75,76,77,79,80,82,83,86,89,
[41:{234276cc,c403364}]1,2,5,12,16,17,19,20,21,22,23,26,30,33,34,37,38,39,40,41,42,43,44,45,54,55,58,59,61,62,65,72,75,76,77,79,80,82,83,86,87,
[41:{23427ec1,c403a2c}]2,3,4,5,16,17,19,20,21,22,23,29,30,31,33,37,38,39,40,41,42,43,44,45,54,55,56,58,62,64,65,72,75,76,77,78,79,80,82,83,89,
[41:{23427ec4,c403b6c}]1,2,4,5,16,17,19,20,21,22,23,30,33,37,38,39,40,41,42,43,44,45,54,55,56,58,59,61,62,64,65,72,75,76,77,78,79,80,82,83,87,
[41:{23523699,c406221}]2,3,7,12,15,16,17,19,20,22,25,26,29,30,31,33,34,35,38,39,40,41,42,43,44,45,53,54,58,62,67,69,72,76,77,79,80,82,85,86,89,
[41:{2352369c,c406361}]1,2,7,12,15,16,17,19,20,22,25,26,30,33,34,35,38,39,40,41,42,43,44,45,53,54,58,59,61,62,67,69,72,76,77,79,80,82,85,86,87,
[41:{23523e91,c406a29}]2,3,4,7,15,16,17,19,20,22,25,29,30,31,33,35,38,39,40,41,42,43,44,45,53,54,56,58,62,64,67,69,72,76,77,78,79,80,82,85,89,
[41:{23523e94,c406b69}]1,2,4,7,15,16,17,19,20,22,25,30,33,35,38,39,40,41,42,43,44,45,53,54,56,58,59,61,62,64,67,69,72,76,77,78,79,80,82,85,87,
[41:{23527689,c407225}]2,3,5,7,12,16,17,19,20,22,26,29,30,31,33,34,38,39,40,41,42,43,44,45,53,54,55,58,62,65,67,69,72,75,76,77,79,80,82,86,89,
[41:{2352768c,c407365}]1,2,5,7,12,16,17,19,20,22,26,30,33,34,38,39,40,41,42,43,44,45,53,54,55,58,59,61,62,65,67,69,72,75,76,77,79,80,82,86,87,
[41:{23527e81,c407a2d}]2,3,4,5,7,16,17,19,20,22,29,30,31,33,38,39,40,41,42,43,44,45,53,54,55,56,58,62,64,65,67,69,72,75,76,77,78,79,80,82,89,
[41:{23527e84,c407b6d}]1,2,4,5,7,16,17,19,20,22,30,33,38,39,40,41,42,43,44,45,53,54,55,56,58,59,61,62,64,65,67,69,72,75,76,77,78,79,80,82,87,
[41:{2360365b,c408000}]3,8,12,15,16,17,18,19,20,21,23,25,26,28,29,30,31,32,33,34,35,36,37,39,40,41,42,43,44,45,52,68,76,77,79,80,83,85,86,88,89,
[41:{2375761a,c408005}]1,3,7,8,12,16,18,20,26,28,29,30,31,32,33,34,35,36,37,39,40,41,42,43,44,45,52,65,67,68,69,71,73,75,76,77,79,80,85,86,88,
