1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
11	3
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
22	2
23	0
24	0
25	0
26	0
27	0
28	0
29	0
33	2
34	0
35	0
36	0
37	0
38	0
39	0
44	2
45	0
46	0
47	0
48	0
49	0
55	2
56	0
57	0
58	0
59	0
66	2
67	0
68	0
69	0
77	2
78	0
79	0
88	2
89	0
99	2
111	4
112	5
113	7
114	1
115	1
116	1
117	1
118	1
119	1
122	7
123	10
124	0
125	0
126	0
127	0
128	0
129	0
133	3
134	3
135	0
136	0
137	0
138	0
139	0
144	3
145	3
146	0
147	0
148	0
149	0
155	3
156	3
157	0
158	0
159	0
166	3
167	3
168	0
169	0
177	3
178	3
179	0
188	3
189	3
199	3
222	4
223	5
224	2
225	2
226	3
227	1
228	1
229	1
233	5
234	0
235	2
236	2
237	0
238	0
239	0
244	5
245	0
246	6
247	0
248	3
249	0
255	4
256	0
257	2
258	0
259	0
266	4
267	0
268	3
269	0
277	4
278	0
279	2
288	5
289	0
299	4
333	1
334	1
335	2
336	2
337	3
338	3
339	5
344	1
345	0
346	0
347	2
348	0
349	0
355	1
356	0
357	0
358	2
359	0
366	1
367	0
368	0
369	4
377	1
378	0
379	0
388	1
389	0
399	1
444	1
445	1
446	1
447	2
448	4
449	2
455	1
456	0
457	0
458	0
459	2
466	1
467	0
468	0
469	0
477	1
478	0
479	0
488	1
489	0
499	1
555	1
556	1
557	1
558	1
559	2
566	1
567	0
568	0
569	0
577	1
578	0
579	0
588	1
589	0
599	1
666	1
667	1
668	1
669	1
677	1
678	0
679	0
688	1
689	0
699	1
777	1
778	1
779	1
788	1
789	0
799	1
888	1
889	1
899	1
999	1
1111	5
1112	7
1113	10
1114	11
1115	13
1116	15
1117	2
1118	2
1119	2
1122	10
1123	11
1124	14
1125	17
1126	20
1127	1
1128	1
1129	1
1133	14
1134	19
1135	22
1136	26
1137	26
1138	29
1139	22
1144	22
1145	27
1146	13
1147	8
1148	7
1149	8
1155	7
1156	14
1157	8
1158	7
1159	10
1166	4
1167	9
1168	9
1169	7
1177	4
1178	4
1179	6
1188	5
1189	4
1199	4
1222	11
1223	17
1224	19
1225	23
1226	19
